participant_id,condition,stimulus_id,question_id,response,correct_choice,correct,score,demo_note
P02,mathontospeak_semantic,ALG01,ALG01_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,ALG01,ALG01_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,ALG01,ALG01_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,ALG01,ALG01_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,ALG02,ALG02_Q1,C,A,No,0,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,ALG02,ALG02_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,ALG02,ALG02_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,ALG02,ALG02_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,ALG03,ALG03_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,ALG03,ALG03_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,ALG03,ALG03_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,ALG03,ALG03_Q4,D,A,No,0,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,ALG04,ALG04_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,ALG04,ALG04_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,ALG04,ALG04_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,ALG04,ALG04_Q4,A,12,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,CALC01,CALC01_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,CALC01,CALC01_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,CALC01,CALC01_Q3,B,A,No,0,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,CALC01,CALC01_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,CALC02,CALC02_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,CALC02,CALC02_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,CALC02,CALC02_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,CALC02,CALC02_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,CALC03,CALC03_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,CALC03,CALC03_Q2,C,A,No,0,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,CALC03,CALC03_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,CALC03,CALC03_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,LIN01,LIN01_Q1,A,Functions,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,LIN01,LIN01_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,LIN01,LIN01_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,LIN01,LIN01_Q4,A,6),Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,LIN02,LIN02_Q1,D,A,No,0,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,LIN02,LIN02_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,LIN02,LIN02_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,LIN02,LIN02_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,LIN03,LIN03_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,LIN03,LIN03_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,LIN03,LIN03_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,mathontospeak_semantic,LIN03,LIN03_Q4,B,A,No,0,synthetic_demo_not_real_participant_data
P02,notation_only,ALG01,ALG01_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,ALG01,ALG01_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,ALG01,ALG01_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,ALG01,ALG01_Q4,B,A,No,0,synthetic_demo_not_real_participant_data
P02,notation_only,ALG02,ALG02_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,ALG02,ALG02_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,ALG02,ALG02_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,ALG02,ALG02_Q4,C,A,No,0,synthetic_demo_not_real_participant_data
P02,notation_only,ALG03,ALG03_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,ALG03,ALG03_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,ALG03,ALG03_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,ALG03,ALG03_Q4,D,A,No,0,synthetic_demo_not_real_participant_data
P02,notation_only,ALG04,ALG04_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,ALG04,ALG04_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,ALG04,ALG04_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,ALG04,ALG04_Q4,B,12,No,0,synthetic_demo_not_real_participant_data
P02,notation_only,CALC01,CALC01_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,CALC01,CALC01_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,CALC01,CALC01_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,CALC01,CALC01_Q4,C,A,No,0,synthetic_demo_not_real_participant_data
P02,notation_only,CALC02,CALC02_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,CALC02,CALC02_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,CALC02,CALC02_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,CALC02,CALC02_Q4,D,A,No,0,synthetic_demo_not_real_participant_data
P02,notation_only,CALC03,CALC03_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,CALC03,CALC03_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,CALC03,CALC03_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,CALC03,CALC03_Q4,B,A,No,0,synthetic_demo_not_real_participant_data
P02,notation_only,LIN01,LIN01_Q1,A,Functions,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,LIN01,LIN01_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,LIN01,LIN01_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,LIN01,LIN01_Q4,C,6),No,0,synthetic_demo_not_real_participant_data
P02,notation_only,LIN02,LIN02_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,LIN02,LIN02_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,LIN02,LIN02_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,LIN02,LIN02_Q4,D,A,No,0,synthetic_demo_not_real_participant_data
P02,notation_only,LIN03,LIN03_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,LIN03,LIN03_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,LIN03,LIN03_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P02,notation_only,LIN03,LIN03_Q4,B,A,No,0,synthetic_demo_not_real_participant_data
P03,notation_only,ALG01,ALG01_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,ALG01,ALG01_Q2,D,A,No,0,synthetic_demo_not_real_participant_data
P03,notation_only,ALG01,ALG01_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,ALG01,ALG01_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,ALG02,ALG02_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,ALG02,ALG02_Q2,B,A,No,0,synthetic_demo_not_real_participant_data
P03,notation_only,ALG02,ALG02_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,ALG02,ALG02_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,ALG03,ALG03_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,ALG03,ALG03_Q2,C,A,No,0,synthetic_demo_not_real_participant_data
P03,notation_only,ALG03,ALG03_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,ALG03,ALG03_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,ALG04,ALG04_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,ALG04,ALG04_Q2,D,A,No,0,synthetic_demo_not_real_participant_data
P03,notation_only,ALG04,ALG04_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,ALG04,ALG04_Q4,A,12,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,CALC01,CALC01_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,CALC01,CALC01_Q2,B,A,No,0,synthetic_demo_not_real_participant_data
P03,notation_only,CALC01,CALC01_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,CALC01,CALC01_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,CALC02,CALC02_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,CALC02,CALC02_Q2,C,A,No,0,synthetic_demo_not_real_participant_data
P03,notation_only,CALC02,CALC02_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,CALC02,CALC02_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,CALC03,CALC03_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,CALC03,CALC03_Q2,D,A,No,0,synthetic_demo_not_real_participant_data
P03,notation_only,CALC03,CALC03_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,CALC03,CALC03_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,LIN01,LIN01_Q1,A,Functions,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,LIN01,LIN01_Q2,B,A,No,0,synthetic_demo_not_real_participant_data
P03,notation_only,LIN01,LIN01_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,LIN01,LIN01_Q4,A,6),Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,LIN02,LIN02_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,LIN02,LIN02_Q2,C,A,No,0,synthetic_demo_not_real_participant_data
P03,notation_only,LIN02,LIN02_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,LIN02,LIN02_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,LIN03,LIN03_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,LIN03,LIN03_Q2,D,A,No,0,synthetic_demo_not_real_participant_data
P03,notation_only,LIN03,LIN03_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,notation_only,LIN03,LIN03_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,ALG01,ALG01_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,ALG01,ALG01_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,ALG01,ALG01_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,ALG01,ALG01_Q4,C,A,No,0,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,ALG02,ALG02_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,ALG02,ALG02_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,ALG02,ALG02_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,ALG02,ALG02_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,ALG03,ALG03_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,ALG03,ALG03_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,ALG03,ALG03_Q3,D,A,No,0,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,ALG03,ALG03_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,ALG04,ALG04_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,ALG04,ALG04_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,ALG04,ALG04_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,ALG04,ALG04_Q4,A,12,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,CALC01,CALC01_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,CALC01,CALC01_Q2,B,A,No,0,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,CALC01,CALC01_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,CALC01,CALC01_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,CALC02,CALC02_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,CALC02,CALC02_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,CALC02,CALC02_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,CALC02,CALC02_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,CALC03,CALC03_Q1,C,A,No,0,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,CALC03,CALC03_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,CALC03,CALC03_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,CALC03,CALC03_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,LIN01,LIN01_Q1,A,Functions,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,LIN01,LIN01_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,LIN01,LIN01_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,LIN01,LIN01_Q4,D,6),No,0,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,LIN02,LIN02_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,LIN02,LIN02_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,LIN02,LIN02_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,LIN02,LIN02_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,LIN03,LIN03_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,LIN03,LIN03_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,LIN03,LIN03_Q3,B,A,No,0,synthetic_demo_not_real_participant_data
P03,mathontospeak_semantic,LIN03,LIN03_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,ALG01,ALG01_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,ALG01,ALG01_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,ALG01,ALG01_Q3,C,A,No,0,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,ALG01,ALG01_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,ALG02,ALG02_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,ALG02,ALG02_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,ALG02,ALG02_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,ALG02,ALG02_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,ALG03,ALG03_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,ALG03,ALG03_Q2,D,A,No,0,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,ALG03,ALG03_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,ALG03,ALG03_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,ALG04,ALG04_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,ALG04,ALG04_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,ALG04,ALG04_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,ALG04,ALG04_Q4,A,12,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,CALC01,CALC01_Q1,B,A,No,0,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,CALC01,CALC01_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,CALC01,CALC01_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,CALC01,CALC01_Q4,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,CALC02,CALC02_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,CALC02,CALC02_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,CALC02,CALC02_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,CALC02,CALC02_Q4,C,A,No,0,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,CALC03,CALC03_Q1,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,CALC03,CALC03_Q2,A,A,Yes,1,synthetic_demo_not_real_participant_data
P04,mathontospeak_semantic,CALC03,CALC03_Q3,A,A,Yes,1,synthetic_demo_not_real_participant_data
