concept_IRI,canonical_label,kind_role,semantic_type,canonical_gloss,concise_form,pedagogical_form,expert_form,document_role_form,domain_tags,source_provenance
http://example.org/mathkg/Equality,Equality,kind,relation,Equality: An Equality is a mathematical relation that specifies how two or more mathematical objects are connected.,Equality: An Equality is a mathematical relation that specifies how two or more mathematical objects are connected.,Think of equality as an Equality is a mathematical relation that specifies how two or more mathematical objects are connected.,Equality denotes an Equality is a mathematical relation that specifies how two or more mathematical objects are connected.,"In a mathematical document, equality usually signals a relation concept with provenance from OpenMath; OntoMathEdu; MathModDB.",logic,OpenMath; OntoMathEdu; MathModDB
http://cll.niimm.ksu.ru/ontologies/mathematics#E1202,Inequality,kind,relation,Inequality: An Inequality is a mathematical relation that specifies how two or more mathematical objects are connected.,Inequality: An Inequality is a mathematical relation that specifies how two or more mathematical objects are connected.,Think of inequality as an Inequality is a mathematical relation that specifies how two or more mathematical objects are connected.,Inequality denotes an Inequality is a mathematical relation that specifies how two or more mathematical objects are connected.,"In a mathematical document, inequality usually signals a relation concept with provenance from OntoMathPRO.",logic,OntoMathPRO
http://cll.niimm.ksu.ru/ontologies/mathematics#E2114,Number,kind,scalar,"Number: A Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Number: A Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of number as a Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Number denotes a Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, number usually signals a scalar concept with provenance from OntoMathPRO.",general-mathematics,OntoMathPRO
http://example.org/mathkg/Integer,Integer,kind,scalar,"Integer: An Integer is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Integer: An Integer is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of integer as an Integer is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Integer denotes an Integer is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, integer usually signals a scalar concept with provenance from OntoMathPRO; MathModDB; OpenMath.",general-mathematics,OntoMathPRO; MathModDB; OpenMath
http://cll.niimm.ksu.ru/ontologies/mathematics#E2119,Natural Number,kind,scalar,"Natural Number: A Natural Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Natural Number: A Natural Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of natural number as a Natural Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Natural Number denotes a Natural Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, natural number usually signals a scalar concept with provenance from OntoMathPRO.",general-mathematics,OntoMathPRO
http://cll.niimm.ksu.ru/ontologies/mathematics#E2117,Rational Number,kind,scalar,"Rational Number: A Rational Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Rational Number: A Rational Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of rational number as a Rational Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Rational Number denotes a Rational Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, rational number usually signals a scalar concept with provenance from OntoMathPRO.",general-mathematics,OntoMathPRO
http://cll.niimm.ksu.ru/ontologies/mathematics#E2116,Real Number,kind,scalar,"Real Number: A Real Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Real Number: A Real Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of real number as a Real Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Real Number denotes a Real Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, real number usually signals a scalar concept with provenance from OntoMathPRO.",general-mathematics,OntoMathPRO
http://cll.niimm.ksu.ru/ontologies/mathematics#E2127,Complex Number,kind,scalar,"Complex Number: A Complex Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Complex Number: A Complex Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of complex number as a Complex Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Complex Number denotes a Complex Number is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, complex number usually signals a scalar concept with provenance from OntoMathPRO.",general-mathematics,OntoMathPRO
http://example.org/mathkg/Variable,Variable,role,scalar,"Variable: A Variable is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Variable: A Variable is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of variable as a Variable is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Variable denotes a Variable is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, variable usually signals a scalar concept with provenance from OntoMathPRO; MathModDB.",general-mathematics,OntoMathPRO; MathModDB
http://cll.niimm.ksu.ru/ontologies/mathematics#E2129,Coefficient,role,scalar,"Coefficient: A Coefficient is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Coefficient: A Coefficient is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of coefficient as a Coefficient is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Coefficient denotes a Coefficient is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, coefficient usually signals a scalar concept with provenance from OntoMathPRO.",general-mathematics,OntoMathPRO
http://cll.niimm.ksu.ru/ontologies/mathematics#E2134,Constant,role,scalar,"Constant: A Constant is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Constant: A Constant is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of constant as a Constant is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Constant denotes a Constant is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, constant usually signals a scalar concept with provenance from OntoMathPRO.",general-mathematics,OntoMathPRO
http://example.org/mathkg/Expression,Expression,kind,scalar,"Expression: An Expression is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Expression: An Expression is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of expression as an Expression is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Expression denotes an Expression is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, expression usually signals a scalar concept with provenance from MathModDB; OntoMathEdu.",general-mathematics,MathModDB; OntoMathEdu
http://cll.niimm.ksu.ru/ontologies/mathematics#E1891,Equation,kind,scalar,"Equation: An Equation is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Equation: An Equation is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of equation as an Equation is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Equation denotes an Equation is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, equation usually signals a scalar concept with provenance from OntoMathPRO.",algebra,OntoMathPRO
http://cll.niimm.ksu.ru/ontologies/mathematics#E1988,Formula,kind,scalar,"Formula: A Formula is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Formula: A Formula is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of formula as a Formula is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Formula denotes a Formula is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, formula usually signals a scalar concept with provenance from OntoMathPRO.",general-mathematics,OntoMathPRO
http://example.org/mathkg/Polynomial,Polynomial,kind,scalar,"Polynomial: A Polynomial is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Polynomial: A Polynomial is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of polynomial as a Polynomial is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Polynomial denotes a Polynomial is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, polynomial usually signals a scalar concept with provenance from OntoMathPRO; MathModDB; OpenMath.",algebra,OntoMathPRO; MathModDB; OpenMath
http://cll.niimm.ksu.ru/ontologies/mathematics#E1703,Matrix,kind,matrix,Matrix: A Matrix is a rectangular array or matrix-related structure used to organize mathematical quantities and transformations.,Matrix: A Matrix is a rectangular array or matrix-related structure used to organize mathematical quantities and transformations.,Think of matrix as a Matrix is a rectangular array or matrix-related structure used to organize mathematical quantities and transformations.,Matrix denotes a Matrix is a rectangular array or matrix-related structure used to organize mathematical quantities and transformations.,"In a mathematical document, matrix usually signals a matrix concept with provenance from OntoMathPRO.",linear-algebra,OntoMathPRO
http://cll.niimm.ksu.ru/ontologies/mathematics#E1693,Vector,kind,vector,Vector: Vector is a vector-related concept used to represent directed or component-based mathematical quantities.,Vector: Vector is a vector-related concept used to represent directed or component-based mathematical quantities.,Think of vector as vector is a vector-related concept used to represent directed or component-based mathematical quantities.,Vector denotes vector is a vector-related concept used to represent directed or component-based mathematical quantities.,"In a mathematical document, vector usually signals a vector concept with provenance from OntoMathPRO.",linear-algebra,OntoMathPRO
http://example.org/mathkg/Scalar,Scalar,kind,scalar,"Scalar: A Scalar is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Scalar: A Scalar is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of scalar as a Scalar is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Scalar denotes a Scalar is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, scalar usually signals a scalar concept with provenance from OntoMathPRO; MathModDB; OntoMathEdu.",linear-algebra,OntoMathPRO; MathModDB; OntoMathEdu
http://example.org/mathkg/Determinant,Determinant,kind,matrix,Determinant: A Determinant is a matrix-related concept used to describe rectangular arrays or operations on them.,Determinant: A Determinant is a matrix-related concept used to describe rectangular arrays or operations on them.,Think of determinant as a Determinant is a matrix-related concept used to describe rectangular arrays or operations on them.,Determinant denotes a Determinant is a matrix-related concept used to describe rectangular arrays or operations on them.,"In a mathematical document, determinant usually signals a matrix concept with provenance from OntoMathPRO; OpenMath; OntoMathEdu.",linear-algebra,OntoMathPRO; OpenMath; OntoMathEdu
http://example.org/mathkg/Derivative,Derivative,kind,operator,Derivative: A Derivative is a mathematical operation or operator that transforms one or more inputs into a result.,Derivative: A Derivative is a mathematical operation or operator that transforms one or more inputs into a result.,Think of derivative as a Derivative is a mathematical operation or operator that transforms one or more inputs into a result.,Derivative denotes a Derivative is a mathematical operation or operator that transforms one or more inputs into a result.,"In a mathematical document, derivative usually signals a operator concept with provenance from OntoMathPRO; MathModDB; OpenMath.",calculus,OntoMathPRO; MathModDB; OpenMath
http://example.org/mathkg/Integral,Integral,kind,operator,Integral: An Integral is a mathematical operation or operator that transforms one or more inputs into a result.,Integral: An Integral is a mathematical operation or operator that transforms one or more inputs into a result.,Think of integral as an Integral is a mathematical operation or operator that transforms one or more inputs into a result.,Integral denotes an Integral is a mathematical operation or operator that transforms one or more inputs into a result.,"In a mathematical document, integral usually signals a operator concept with provenance from OntoMathPRO; MathModDB; OpenMath.",calculus,OntoMathPRO; MathModDB; OpenMath
http://example.org/mathkg/Limit,Limit,kind,scalar,"Limit: A Limit is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Limit: A Limit is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of limit as a Limit is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Limit denotes a Limit is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, limit usually signals a scalar concept with provenance from OntoMathPRO; OpenMath; OntoMathEdu.",calculus,OntoMathPRO; OpenMath; OntoMathEdu
http://example.org/mathkg/Sequence,Sequence,kind,scalar,"Sequence: A Sequence is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Sequence: A Sequence is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of sequence as a Sequence is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Sequence denotes a Sequence is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, sequence usually signals a scalar concept with provenance from OntoMathPRO; OpenMath; OntoMathEdu.",calculus,OntoMathPRO; OpenMath; OntoMathEdu
http://example.org/mathkg/Series,Series,kind,scalar,"Series: A Series is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Series: A Series is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of series as a Series is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Series denotes a Series is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, series usually signals a scalar concept with provenance from OntoMathPRO; OpenMath; OntoMathEdu.",calculus,OntoMathPRO; OpenMath; OntoMathEdu
http://example.org/mathkg/Logarithm,Logarithm,kind,function,Logarithm: A Logarithm is a mathematical function concept that associates inputs with outputs according to a rule.,Logarithm: A Logarithm is a mathematical function concept that associates inputs with outputs according to a rule.,Think of logarithm as a Logarithm is a mathematical function concept that associates inputs with outputs according to a rule.,Logarithm denotes a Logarithm is a mathematical function concept that associates inputs with outputs according to a rule.,"In a mathematical document, logarithm usually signals a function concept with provenance from OntoMathPRO; OpenMath; OntoMathEdu.",general-mathematics,OntoMathPRO; OpenMath; OntoMathEdu
http://cll.niimm.ksu.ru/ontologies/mathematics#E1609,Exponential Function,kind,function,Exponential Function: An Exponential Function is a mathematical function concept that associates inputs with outputs according to a rule.,Exponential Function: An Exponential Function is a mathematical function concept that associates inputs with outputs according to a rule.,Think of exponential function as an Exponential Function is a mathematical function concept that associates inputs with outputs according to a rule.,Exponential Function denotes an Exponential Function is a mathematical function concept that associates inputs with outputs according to a rule.,"In a mathematical document, exponential function usually signals a function concept with provenance from OntoMathPRO.",general-mathematics,OntoMathPRO
http://example.org/mathkg/Sine,Sine,kind,function,Sine: A Sine is a mathematical function concept that associates inputs with outputs according to a rule.,Sine: A Sine is a mathematical function concept that associates inputs with outputs according to a rule.,Think of sine as a Sine is a mathematical function concept that associates inputs with outputs according to a rule.,Sine denotes a Sine is a mathematical function concept that associates inputs with outputs according to a rule.,"In a mathematical document, sine usually signals a function concept with provenance from OntoMathPRO; OpenMath; OntoMathEdu.",general-mathematics,OntoMathPRO; OpenMath; OntoMathEdu
http://example.org/mathkg/Cosine,Cosine,kind,function,Cosine: A Cosine is a mathematical function concept that associates inputs with outputs according to a rule.,Cosine: A Cosine is a mathematical function concept that associates inputs with outputs according to a rule.,Think of cosine as a Cosine is a mathematical function concept that associates inputs with outputs according to a rule.,Cosine denotes a Cosine is a mathematical function concept that associates inputs with outputs according to a rule.,"In a mathematical document, cosine usually signals a function concept with provenance from OntoMathPRO; OpenMath; OntoMathEdu.",general-mathematics,OntoMathPRO; OpenMath; OntoMathEdu
http://example.org/mathkg/Tangent,Tangent,kind,function,Tangent: A Tangent is a mathematical function concept that associates inputs with outputs according to a rule.,Tangent: A Tangent is a mathematical function concept that associates inputs with outputs according to a rule.,Think of tangent as a Tangent is a mathematical function concept that associates inputs with outputs according to a rule.,Tangent denotes a Tangent is a mathematical function concept that associates inputs with outputs according to a rule.,"In a mathematical document, tangent usually signals a function concept with provenance from OntoMathPRO; OpenMath; OntoMathEdu.",general-mathematics,OntoMathPRO; OpenMath; OntoMathEdu
http://cll.niimm.ksu.ru/ontologies/mathematics#E293,Point,kind,scalar,"Point: A Point is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Point: A Point is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of point as a Point is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Point denotes a Point is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, point usually signals a scalar concept with provenance from OntoMathPRO.",geometry,OntoMathPRO
http://cll.niimm.ksu.ru/ontologies/mathematics#E1168,Line,kind,scalar,Line: A Line is a geometric object representing a straight one-dimensional extent.,Line: A Line is a geometric object representing a straight one-dimensional extent.,Think of line as a Line is a geometric object representing a straight one-dimensional extent.,Line denotes a Line is a geometric object representing a straight one-dimensional extent.,"In a mathematical document, line usually signals a scalar concept with provenance from OntoMathPRO.",geometry,OntoMathPRO
http://cll.niimm.ksu.ru/ontologies/mathematics#E109,Circle,kind,scalar,"Circle: A Circle is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Circle: A Circle is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of circle as a Circle is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Circle denotes a Circle is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, circle usually signals a scalar concept with provenance from OntoMathPRO.",geometry,OntoMathPRO
http://cll.niimm.ksu.ru/ontologies/mathematics#E1187,Angle,kind,scalar,"Angle: An Angle is a geometric concept describing the amount of rotation or separation between two rays, lines, or directions.","Angle: An Angle is a geometric concept describing the amount of rotation or separation between two rays, lines, or directions.","Think of angle as an Angle is a geometric concept describing the amount of rotation or separation between two rays, lines, or directions.","Angle denotes an Angle is a geometric concept describing the amount of rotation or separation between two rays, lines, or directions.","In a mathematical document, angle usually signals a scalar concept with provenance from OntoMathPRO.",geometry,OntoMathPRO
http://cll.niimm.ksu.ru/ontologies/mathematics#E1183,Triangle,kind,scalar,Triangle: A Triangle is a geometric figure with three sides and three vertices.,Triangle: A Triangle is a geometric figure with three sides and three vertices.,Think of triangle as a Triangle is a geometric figure with three sides and three vertices.,Triangle denotes a Triangle is a geometric figure with three sides and three vertices.,"In a mathematical document, triangle usually signals a scalar concept with provenance from OntoMathPRO.",geometry,OntoMathPRO
http://example.org/mathkg/Area,Area,kind,scalar,"Area: An Area is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Area: An Area is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of area as an Area is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Area denotes an Area is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, area usually signals a scalar concept with provenance from OntoMathPRO; OpenMath; OntoMathEdu.",general-mathematics,OntoMathPRO; OpenMath; OntoMathEdu
http://example.org/mathkg/Volume,Volume,kind,scalar,"Volume: A Volume is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Volume: A Volume is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of volume as a Volume is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Volume denotes a Volume is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, volume usually signals a scalar concept with provenance from OntoMathPRO; OpenMath; OntoMathEdu.",general-mathematics,OntoMathPRO; OpenMath; OntoMathEdu
http://cll.niimm.ksu.ru/ontologies/mathematics#E887,Graph,kind,scalar,"Graph: A Graph is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Graph: A Graph is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of graph as a Graph is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Graph denotes a Graph is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, graph usually signals a scalar concept with provenance from OntoMathPRO.",general-mathematics,OntoMathPRO
http://cll.niimm.ksu.ru/ontologies/mathematics#E2410,Probability,kind,scalar,"Probability: A Probability is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Probability: A Probability is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of probability as a Probability is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Probability denotes a Probability is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, probability usually signals a scalar concept with provenance from OntoMathPRO.",statistics,OntoMathPRO
http://example.org/mathkg/Mean,Mean,kind,operator,Mean: A Mean is a mathematical operation or operator that transforms one or more inputs into a result.,Mean: A Mean is a mathematical operation or operator that transforms one or more inputs into a result.,Think of mean as a Mean is a mathematical operation or operator that transforms one or more inputs into a result.,Mean denotes a Mean is a mathematical operation or operator that transforms one or more inputs into a result.,"In a mathematical document, mean usually signals a operator concept with provenance from OntoMathPRO; OpenMath; OntoMathEdu.",statistics,OntoMathPRO; OpenMath; OntoMathEdu
http://example.org/mathkg/Variance,Variance,kind,scalar,"Variance: A Variance is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Variance: A Variance is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of variance as a Variance is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Variance denotes a Variance is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, variance usually signals a scalar concept with provenance from OntoMathPRO; OpenMath; OntoMathEdu.",statistics,OntoMathPRO; OpenMath; OntoMathEdu
http://cll.niimm.ksu.ru/ontologies/mathematics#E1405,Morphism,kind,scalar,"Morphism: A Morphism is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Morphism: A Morphism is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of morphism as a Morphism is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Morphism denotes a Morphism is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, morphism usually signals a scalar concept with provenance from OntoMathPRO.",general-mathematics,OntoMathPRO
http://cll.niimm.ksu.ru/ontologies/mathematics#E1404,The local Hamiltonian,kind,scalar,"The local Hamiltonian: A The local Hamiltonian is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","The local Hamiltonian: A The local Hamiltonian is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","Think of the local hamiltonian as a The local Hamiltonian is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","The local Hamiltonian denotes a The local Hamiltonian is a mathematical concept used as a named object, value, or quantity in formal mathematical discourse.","In a mathematical document, the local hamiltonian usually signals a scalar concept with provenance from OntoMathPRO.",general-mathematics,OntoMathPRO
http://cll.niimm.ksu.ru/ontologies/mathematics#E1403,Linear mapping,kind,transformation,Linear mapping: A Linear mapping is a transformation concept that describes a structure-preserving change or mapping.,Linear mapping: A Linear mapping is a transformation concept that describes a structure-preserving change or mapping.,Think of linear mapping as a Linear mapping is a transformation concept that describes a structure-preserving change or mapping.,Linear mapping denotes a Linear mapping is a transformation concept that describes a structure-preserving change or mapping.,"In a mathematical document, linear mapping usually signals a transformation concept with provenance from OntoMathPRO.",general-mathematics,OntoMathPRO
http://cll.niimm.ksu.ru/ontologies/mathematics#E1402,Contact transformation,kind,transformation,Contact transformation: A Contact transformation is a transformation concept that describes a structure-preserving change or mapping.,Contact transformation: A Contact transformation is a transformation concept that describes a structure-preserving change or mapping.,Think of contact transformation as a Contact transformation is a transformation concept that describes a structure-preserving change or mapping.,Contact transformation denotes a Contact transformation is a transformation concept that describes a structure-preserving change or mapping.,"In a mathematical document, contact transformation usually signals a transformation concept with provenance from OntoMathPRO.",general-mathematics,OntoMathPRO
