audio_id,condition,audio_path,transcript_produced,word_error_rate,concept_keywords_expected,concept_keywords_found,concept_keywords_total,concept_keyword_recall,expected_text,whisper_transcript,status,notes
ALG01,notation_only,study\audio\notation_only\mp3\ALG01_notation_only.mp3,true,0.400,,0,0,0.000,x plus three equals seven,x plus 3 equals 7.,ok,
ALG02,notation_only,study\audio\notation_only\mp3\ALG02_notation_only.mp3,true,0.667,,0,0,0.000,two x minus five equals nine,2x minus 5 equals 9.,ok,
ALG03,notation_only,study\audio\notation_only\mp3\ALG03_notation_only.mp3,true,0.150,,0,0,0.000,open parenthesis x plus one close parenthesis times open parenthesis x minus one close parenthesis equals x squared minus one,Open parenthesis x plus 1 close parenthesis times open parenthesis x minus 1 close parenthesis. Equals x squared minus 1.,ok,
ALG04,notation_only,study\audio\notation_only\mp3\ALG04_notation_only.mp3,true,0.222,,0,0,0.000,sum from i equals one to n of i equals n times n plus one divided by two,Some from i equals 1 to n of i equals n times n plus 1 divided by 2.,ok,
CALC01,notation_only,study\audio\notation_only\mp3\CALC01_notation_only.mp3,true,0.167,,0,0,0.000,limit as x approaches zero of sine x over x equals one,Limit as x approaches 0 of sine x over x equals 1.,ok,
CALC02,notation_only,study\audio\notation_only\mp3\CALC02_notation_only.mp3,true,0.231,,0,0,0.000,the derivative with respect to x of x cubed equals three x squared,The derivative with respect to x of x cube equals 3x squared.,ok,
CALC03,notation_only,study\audio\notation_only\mp3\CALC03_notation_only.mp3,true,0.273,,0,0,0.000,integral from 0 to 1 of x^2 dx = 1/3,Integral from 0 to 1 of x squared dx equals 1 third.,ok,
LIN01,notation_only,study\audio\notation_only\mp3\LIN01_notation_only.mp3,true,0.125,,0,0,0.000,bold u plus bold v equals bold w,Bold U plus bold versus equals bold W.,ok,
LIN02,notation_only,study\audio\notation_only\mp3\LIN02_notation_only.mp3,true,0.000,,0,0,0.000,matrix A times vector x equals vector b,Matrix a times vector x equals vector b.,ok,
LIN03,notation_only,study\audio\notation_only\mp3\LIN03_notation_only.mp3,true,0.000,,0,0,0.000,determinant of A equals zero,Determinant of a equals zero.,ok,
