symbol_rank,symbol,symbol_frequency,arxiv_id,categories,text_source,matched_text,usage_context,extraction_rule,concept_IRI,canonical_label,domain_tags,source_provenance,source_status,start_char,end_char
37,\geq,19,2606.19313v1,math.PR,title_abstract,\geq,"tability of Khintchine-type inequalities via log-monotonicity We investigate Khintchine-type inequalities for the weighted sums $S=\sum_ka_kX_k$ of independent copies of a symmetric random variable $X$. We show how log-monotonicity of the sequence $r_k(X)=k! \mathbb{E}[X^{2k}]/(2k)!$ implies sharp comparisons between the $L_p$ and $L_2$ norms of $S$ for every even integer $p\geq 2$, extending classic Khintchine-type inequalities and yielding new results in the log-convex setting. We also investigate the stability of our inequalities. Our first stability inequality sharpens the classic inequality by a deviation of the coefficient vector from the coordinate extremizers, while the second quantifies deviation from the Gaussian limit.",spaCy MathEntRuler entity,http://cll.niimm.ksu.ru/ontologies/mathematics#E1202,Inequality,logic,https://arxiv.org/pdf/2606.19313v1,metadata_abstract,378,382
31,L,21,2606.19313v1,math.PR,title_abstract,L,"Our first stability inequality sharpens the classic inequality by a deviation of the coefficient vector from the coordinate extremizers, while the second quantifies deviation from the Gaussian limit. Our results recover recent stability inequalities for random signs and apply to a broad class of distributions, including type-$\mathscr{L}$ random variables, ultra sub-Gaussian random variables and Gaussian mixtures.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19313v1,metadata_abstract,878,879
3,\mathbb,95,2606.19309v1,math.AP,title_abstract,\mathbb,"orm inflation for the cubic hyperbolic NLS on $\mathbb T^2$ We prove norm inflation for the cubic hyperbolic nonlinear Schrödinger equation in $H^s(\mathbb T^2)$ for every $s\in(-\infty,0)\cup(0,\frac12]$. The scaling-critical point $s=0$ is excluded by conservation of the $L^2$ norm.",spaCy MathEntRuler entity,http://cll.niimm.ksu.ru/ontologies/mathematics#E847,Set,set-theory,https://arxiv.org/pdf/2606.19309v1,metadata_abstract,48,55
42,T,16,2606.19309v1,math.AP,title_abstract,T,"orm inflation for the cubic hyperbolic NLS on $\mathbb T^2$ We prove norm inflation for the cubic hyperbolic nonlinear Schrödinger equation in $H^s(\mathbb T^2)$ for every $s\in(-\infty,0)\cup(0,\frac12]$. The scaling-critical point $s=0$ is excluded by conservation of the $L^2$ norm.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19309v1,metadata_abstract,56,57
3,\mathbb,95,2606.19309v1,math.AP,title_abstract,\mathbb,"orm inflation for the cubic hyperbolic NLS on $\mathbb T^2$ We prove norm inflation for the cubic hyperbolic nonlinear Schrödinger equation in $H^s(\mathbb T^2)$ for every $s\in(-\infty,0)\cup(0,\frac12]$. The scaling-critical point $s=0$ is excluded by conservation of the $L^2$ norm. The strong ill-posedness below and above the scaling-critical point arises from two completely different mechanisms.",spaCy MathEntRuler entity,http://cll.niimm.ksu.ru/ontologies/mathematics#E847,Set,set-theory,https://arxiv.org/pdf/2606.19309v1,metadata_abstract,149,156
42,T,16,2606.19309v1,math.AP,title_abstract,T,"orm inflation for the cubic hyperbolic NLS on $\mathbb T^2$ We prove norm inflation for the cubic hyperbolic nonlinear Schrödinger equation in $H^s(\mathbb T^2)$ for every $s\in(-\infty,0)\cup(0,\frac12]$. The scaling-critical point $s=0$ is excluded by conservation of the $L^2$ norm. The strong ill-posedness below and above the scaling-critical point arises from two completely different mechanisms.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19309v1,metadata_abstract,157,158
17,\frac,32,2606.19309v1,math.AP,title_abstract,\frac,"orm inflation for the cubic hyperbolic NLS on $\mathbb T^2$ We prove norm inflation for the cubic hyperbolic nonlinear Schrödinger equation in $H^s(\mathbb T^2)$ for every $s\in(-\infty,0)\cup(0,\frac12]$. The scaling-critical point $s=0$ is excluded by conservation of the $L^2$ norm. The strong ill-posedness below and above the scaling-critical point arises from two completely different mechanisms. Particularly in the scaling-subcritical regime, this dynamical instability stems from the hyperbolic nature.",spaCy MathEntRuler entity,http://example.org/mathkg/Division,Division,general-mathematics,https://arxiv.org/pdf/2606.19309v1,metadata_abstract,196,201
6,s,66,2606.19309v1,math.AP,title_abstract,s,"orm inflation for the cubic hyperbolic NLS on $\mathbb T^2$ We prove norm inflation for the cubic hyperbolic nonlinear Schrödinger equation in $H^s(\mathbb T^2)$ for every $s\in(-\infty,0)\cup(0,\frac12]$. The scaling-critical point $s=0$ is excluded by conservation of the $L^2$ norm. The strong ill-posedness below and above the scaling-critical point arises from two completely different mechanisms. Particularly in the scaling-subcritical regime, this dynamical instability stems from the hyperbolic nature.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19309v1,metadata_abstract,235,236
31,L,21,2606.19309v1,math.AP,title_abstract,L,"orm inflation for the cubic hyperbolic NLS on $\mathbb T^2$ We prove norm inflation for the cubic hyperbolic nonlinear Schrödinger equation in $H^s(\mathbb T^2)$ for every $s\in(-\infty,0)\cup(0,\frac12]$. The scaling-critical point $s=0$ is excluded by conservation of the $L^2$ norm. The strong ill-posedness below and above the scaling-critical point arises from two completely different mechanisms. Particularly in the scaling-subcritical regime, this dynamical instability stems from the hyperbolic nature.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19309v1,metadata_abstract,276,277
73,\cite,5,2606.19309v1,math.AP,title_abstract,\cite,"The strong ill-posedness below and above the scaling-critical point arises from two completely different mechanisms. Particularly in the scaling-subcritical regime, this dynamical instability stems from the hyperbolic nature. Together with the local well-posedness result in \cite{WangHNLS}, this gives a sharp dichotomy away from the mass space $L^2(\mathbb T^2)$: local well-posedness holds for $s>\frac12$, whereas norm inflation occurs for all $s\le \frac12$ with $s\ne0$.",spaCy MathEntRuler entity,,,,https://arxiv.org/pdf/2606.19309v1,metadata_abstract,562,567
3,\mathbb,95,2606.19309v1,math.AP,title_abstract,\mathbb,"Particularly in the scaling-subcritical regime, this dynamical instability stems from the hyperbolic nature. Together with the local well-posedness result in \cite{WangHNLS}, this gives a sharp dichotomy away from the mass space $L^2(\mathbb T^2)$: local well-posedness holds for $s>\frac12$, whereas norm inflation occurs for all $s\le \frac12$ with $s\ne0$.",spaCy MathEntRuler entity,http://cll.niimm.ksu.ru/ontologies/mathematics#E847,Set,set-theory,https://arxiv.org/pdf/2606.19309v1,metadata_abstract,638,645
42,T,16,2606.19309v1,math.AP,title_abstract,T,"Particularly in the scaling-subcritical regime, this dynamical instability stems from the hyperbolic nature. Together with the local well-posedness result in \cite{WangHNLS}, this gives a sharp dichotomy away from the mass space $L^2(\mathbb T^2)$: local well-posedness holds for $s>\frac12$, whereas norm inflation occurs for all $s\le \frac12$ with $s\ne0$.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19309v1,metadata_abstract,646,647
17,\frac,32,2606.19309v1,math.AP,title_abstract,\frac,"Particularly in the scaling-subcritical regime, this dynamical instability stems from the hyperbolic nature. Together with the local well-posedness result in \cite{WangHNLS}, this gives a sharp dichotomy away from the mass space $L^2(\mathbb T^2)$: local well-posedness holds for $s>\frac12$, whereas norm inflation occurs for all $s\le \frac12$ with $s\ne0$.",spaCy MathEntRuler entity,http://example.org/mathkg/Division,Division,general-mathematics,https://arxiv.org/pdf/2606.19309v1,metadata_abstract,687,692
35,\le,20,2606.19309v1,math.AP,title_abstract,\le,"Together with the local well-posedness result in \cite{WangHNLS}, this gives a sharp dichotomy away from the mass space $L^2(\mathbb T^2)$: local well-posedness holds for $s>\frac12$, whereas norm inflation occurs for all $s\le \frac12$ with $s\ne0$.",spaCy MathEntRuler entity,http://cll.niimm.ksu.ru/ontologies/mathematics#E1202,Inequality,logic,https://arxiv.org/pdf/2606.19309v1,metadata_abstract,737,740
17,\frac,32,2606.19309v1,math.AP,title_abstract,\frac,"Together with the local well-posedness result in \cite{WangHNLS}, this gives a sharp dichotomy away from the mass space $L^2(\mathbb T^2)$: local well-posedness holds for $s>\frac12$, whereas norm inflation occurs for all $s\le \frac12$ with $s\ne0$.",spaCy MathEntRuler entity,http://example.org/mathkg/Division,Division,general-mathematics,https://arxiv.org/pdf/2606.19309v1,metadata_abstract,741,746
6,s,66,2606.19309v1,math.AP,title_abstract,s,"Together with the local well-posedness result in \cite{WangHNLS}, this gives a sharp dichotomy away from the mass space $L^2(\mathbb T^2)$: local well-posedness holds for $s>\frac12$, whereas norm inflation occurs for all $s\le \frac12$ with $s\ne0$.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19309v1,metadata_abstract,756,757
54,e,13,2606.19298v1,math.PR; math.NT,title_abstract,e,"ecretary Problem Thresholds and Convergents of $1/e$ We prove that if $p/q$ is a continued fraction convergent of $1/e$ with $q\geq 3$, then, for the secretary problem with $q$ applicants, the optimal number of initially rejected applicants is $p$.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19298v1,metadata_abstract,51,52
7,p,56,2606.19298v1,math.PR; math.NT,title_abstract,p,"ecretary Problem Thresholds and Convergents of $1/e$ We prove that if $p/q$ is a continued fraction convergent of $1/e$ with $q\geq 3$, then, for the secretary problem with $q$ applicants, the optimal number of initially rejected applicants is $p$.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19298v1,metadata_abstract,72,73
9,q,48,2606.19298v1,math.PR; math.NT,title_abstract,q,"ecretary Problem Thresholds and Convergents of $1/e$ We prove that if $p/q$ is a continued fraction convergent of $1/e$ with $q\geq 3$, then, for the secretary problem with $q$ applicants, the optimal number of initially rejected applicants is $p$.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19298v1,metadata_abstract,74,75
54,e,13,2606.19298v1,math.PR; math.NT,title_abstract,e,"ecretary Problem Thresholds and Convergents of $1/e$ We prove that if $p/q$ is a continued fraction convergent of $1/e$ with $q\geq 3$, then, for the secretary problem with $q$ applicants, the optimal number of initially rejected applicants is $p$.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19298v1,metadata_abstract,118,119
37,\geq,19,2606.19298v1,math.PR; math.NT,title_abstract,\geq,"ecretary Problem Thresholds and Convergents of $1/e$ We prove that if $p/q$ is a continued fraction convergent of $1/e$ with $q\geq 3$, then, for the secretary problem with $q$ applicants, the optimal number of initially rejected applicants is $p$.",spaCy MathEntRuler entity,http://cll.niimm.ksu.ru/ontologies/mathematics#E1202,Inequality,logic,https://arxiv.org/pdf/2606.19298v1,metadata_abstract,128,132
9,q,48,2606.19298v1,math.PR; math.NT,title_abstract,q,"ecretary Problem Thresholds and Convergents of $1/e$ We prove that if $p/q$ is a continued fraction convergent of $1/e$ with $q\geq 3$, then, for the secretary problem with $q$ applicants, the optimal number of initially rejected applicants is $p$.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19298v1,metadata_abstract,175,176
7,p,56,2606.19298v1,math.PR; math.NT,title_abstract,p,"ecretary Problem Thresholds and Convergents of $1/e$ We prove that if $p/q$ is a continued fraction convergent of $1/e$ with $q\geq 3$, then, for the secretary problem with $q$ applicants, the optimal number of initially rejected applicants is $p$.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19298v1,metadata_abstract,246,247
7,p,56,2606.19288v1,math.CA; math.AP; math.FA,title_abstract,p,wo weight estimates for difference quotients We prove local and global two weight estimates in which we bound difference quotients of a function in terms of certain weighted $L^p$ norms of its gradient.,spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19288v1,metadata_abstract,178,179
21,R,29,2606.19260v1,math.DS; math.CV,title_abstract,R,"We show that a simply parabolic Polya-Szegö inner function admits forward and backward quotient half-cylinders, which allows one to enrich its dynamics with a Lavaurs map. To proceed, we restrict our attention to simply parabolic inner functions with finite Lyapunov exponent: $\int_{\mathbb{R}} \log |F'| d\ell < \infty$. We define a geodesic flow on the Riemann surface lamination associated to the Lavaurs semigroup and show that it is ergodic. As an application, we establish the Orbit Counting Theorem up to a Cesàro average for Lavaurs semigroups.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19260v1,metadata_abstract,499,500
44,\log,16,2606.19260v1,math.DS; math.CV,title_abstract,\log,"We show that a simply parabolic Polya-Szegö inner function admits forward and backward quotient half-cylinders, which allows one to enrich its dynamics with a Lavaurs map. To proceed, we restrict our attention to simply parabolic inner functions with finite Lyapunov exponent: $\int_{\mathbb{R}} \log |F'| d\ell < \infty$. We define a geodesic flow on the Riemann surface lamination associated to the Lavaurs semigroup and show that it is ergodic. As an application, we establish the Orbit Counting Theorem up to a Cesàro average for Lavaurs semigroups.",spaCy MathEntRuler entity,http://example.org/mathkg/Logarithm,Logarithm,general-mathematics,https://arxiv.org/pdf/2606.19260v1,metadata_abstract,503,507
58,F,9,2606.19260v1,math.DS; math.CV,title_abstract,F,"We show that a simply parabolic Polya-Szegö inner function admits forward and backward quotient half-cylinders, which allows one to enrich its dynamics with a Lavaurs map. To proceed, we restrict our attention to simply parabolic inner functions with finite Lyapunov exponent: $\int_{\mathbb{R}} \log |F'| d\ell < \infty$. We define a geodesic flow on the Riemann surface lamination associated to the Lavaurs semigroup and show that it is ergodic. As an application, we establish the Orbit Counting Theorem up to a Cesàro average for Lavaurs semigroups.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19260v1,metadata_abstract,509,510
36,\ell,19,2606.19260v1,math.DS; math.CV,title_abstract,\ell,"We show that a simply parabolic Polya-Szegö inner function admits forward and backward quotient half-cylinders, which allows one to enrich its dynamics with a Lavaurs map. To proceed, we restrict our attention to simply parabolic inner functions with finite Lyapunov exponent: $\int_{\mathbb{R}} \log |F'| d\ell < \infty$. We define a geodesic flow on the Riemann surface lamination associated to the Lavaurs semigroup and show that it is ergodic. As an application, we establish the Orbit Counting Theorem up to a Cesàro average for Lavaurs semigroups.",spaCy MathEntRuler entity,,,,https://arxiv.org/pdf/2606.19260v1,metadata_abstract,514,518
43,\infty,16,2606.19260v1,math.DS; math.CV,title_abstract,\infty,"We show that a simply parabolic Polya-Szegö inner function admits forward and backward quotient half-cylinders, which allows one to enrich its dynamics with a Lavaurs map. To proceed, we restrict our attention to simply parabolic inner functions with finite Lyapunov exponent: $\int_{\mathbb{R}} \log |F'| d\ell < \infty$. We define a geodesic flow on the Riemann surface lamination associated to the Lavaurs semigroup and show that it is ergodic. As an application, we establish the Orbit Counting Theorem up to a Cesàro average for Lavaurs semigroups.",spaCy MathEntRuler entity,,,,https://arxiv.org/pdf/2606.19260v1,metadata_abstract,521,527
58,F,9,2606.19260v1,math.DS; math.CV,title_abstract,F,"We define a geodesic flow on the Riemann surface lamination associated to the Lavaurs semigroup and show that it is ergodic. As an application, we establish the Orbit Counting Theorem up to a Cesàro average for Lavaurs semigroups. If we additionally assume that $F$ is a parabolic one component inner function, then the geodesic flow is mixing and the full Orbit Counting Theorem holds.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19260v1,metadata_abstract,793,794
15,u,37,2606.19250v1,math.AP,title_abstract,u,"ocal and global well-posedness for the extended Schrödinger-Benjamin-Ono system We study the well-posedness problem for the extended Schrödinger-Benjamin-Ono system (eSBO) on the real line. This system couples a Schrödinger field $u$ with a Benjamin-Ono type field $v$, including a term of the form $\partial_{x}(v^2)$. This latter term, just as in the case of the Benjamin-Ono equation, causes the system to become quasilinear and unsolvable via Picard iteration.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19250v1,metadata_abstract,232,233
61,v,9,2606.19250v1,math.AP,title_abstract,v,"ocal and global well-posedness for the extended Schrödinger-Benjamin-Ono system We study the well-posedness problem for the extended Schrödinger-Benjamin-Ono system (eSBO) on the real line. This system couples a Schrödinger field $u$ with a Benjamin-Ono type field $v$, including a term of the form $\partial_{x}(v^2)$. This latter term, just as in the case of the Benjamin-Ono equation, causes the system to become quasilinear and unsolvable via Picard iteration. We prove that eSBO is locally well-posed in $H^{s+\frac 12}(\mathbb{R})\times H^{s}(\mathbb{R})$ for any $s\geq 0$.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19250v1,metadata_abstract,267,268
61,v,9,2606.19250v1,math.AP,title_abstract,v,"ocal and global well-posedness for the extended Schrödinger-Benjamin-Ono system We study the well-posedness problem for the extended Schrödinger-Benjamin-Ono system (eSBO) on the real line. This system couples a Schrödinger field $u$ with a Benjamin-Ono type field $v$, including a term of the form $\partial_{x}(v^2)$. This latter term, just as in the case of the Benjamin-Ono equation, causes the system to become quasilinear and unsolvable via Picard iteration. We prove that eSBO is locally well-posed in $H^{s+\frac 12}(\mathbb{R})\times H^{s}(\mathbb{R})$ for any $s\geq 0$.",spaCy MathEntRuler entity,http://example.org/mathkg/Variable,Variable,general-mathematics,https://arxiv.org/pdf/2606.19250v1,metadata_abstract,314,315
